,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
191,MXRF11,6ª,"R$ 10,28",18.09.20,"R$ 591.289.496,10",Não houve,Oferta Pública (ICVM 400),02.10.20,Não há,,03.08.20,10.08 até 18.08.20,10.08 até 20.08.20Liquidação: 21.08.20,25.08 até 28.08.20Liquidação: 31.08.20,25.08 até 10.09.20Liquidação: 16.09.20,"0,4095 (40,95%)","1,61710023809 (161,71%)","R$ 25.885,04 (2518 cotas)","R$ 10.000.006,50","R$ 599.999.996,77 (R$ 499.999.997,31 + Lote Adicional de R$ 99.999.999,46)",XP Investimentos,Igualitário (Linear),,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=113400&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=117442&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 10,28 (Cota de R$ 9,93 + Taxa de R$ 0,35)"
192,MXRF11,7ª,"R$ 10,15",27.04.21,"R$ 442.049.582,45",,Oferta Restrita (ICVM 476),13.05.21,23.07.21,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/AWqqIigwwgE"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",09.03.21,Não há,12.03 até 24.03.21Liquidação: 25.03.21,29.03 até 01.04.21Liquidação: 09.04.21,Não há,"0,25136756952 (25,14%)","1,62043121562 (162,04%)",Não há,"R$ 10.000.000,08","R$ 540.000.004,32 (R$ 450.000.003,60 + Lote Adicional de R$ 90.000.000,72)",XP Investimentos,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=153257&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=153254&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172465&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172460&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 10,15 (Cota de R$ 9,81 + Taxa de R$ 0,34)"
193,NAVT11,2ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),26.04.21,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/hpdSpBmvhSU"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",Não há,Não há,Não há,Não há,23.02 até 19.03.21Liquidação: 25.03.21,Não há,Não há,"R$ 5.000,00 (50 cotas)","R$ 42.817.900,00","R$ 172.137.580,00 (R$ 144.330.000,00 + Lote Adicional de R$ 27.807.580,00)",XP Investimentos,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157331&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157332&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166697&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>","R$ 100,00 (Cota de R$ 96,22 + Taxa de R$ 3,78)"
194,NCHB11,2ª,"R$ 94,35",25.08.20,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,23.04 até 14.08.20Liquidação: 21.08.20,Não há,Não há,"R$ 943,50 ( cotas)","R$ 40.000.016,10","R$ 120.008.167,20 (R$ 100.006.806,00 + Lote Adicional de R$ 20.001.361,20)",Guide Investimentos,Proporcional (para reservas acima de R$50 mil),,,"R$ 94,35 (Cota de R$ 90,21 + Taxa de R$ 4,14)"
195,NCHB11,3ª,"R$ 95,39",19.03.21,"R$ 80.000.047,26",,Oferta Restrita (ICVM 476),14.04.21,,,12.02.21,Não há,19.02 até 03.03.21Liquidação: 05.03.21,08.03 até 11.03.21Liquidação: 18.03.21,Não há,"1,143743685199 (114,37%)","1,460462085475 (146,05%)",Não há,"R$ 1.000.079,82","R$ 80.000.047,26 (R$ 60.000.012,48 + Lote Adicional de R$ 20.000.034,78)",Guide Investimentos,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=147994&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=145970&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=147965&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162490&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 95,39 (Cota de R$ 91,86 + Taxa de R$ 3,53)"
196,NEWL11,2ª,"R$ 103,83",26.08.21,"R$ 168.997.030,56",,Oferta Restrita (ICVM 476),30.08.21,,,05.11.20,Não há,12.11 até 02.12.20Liquidação: 05.02.21,,Não há,"4,01785361647034 (401,79%)",,Não há,"R$ 40.000.009,14","R$ 419.999.912,75 (R$ 349.999.927,29 + Lote Adicional de R$ 69.999.985,46)",Guide Investimentos,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124815"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209063&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 103,83 (Cota de R$ 101,79 + Taxa de R$ 2,04)"
197,OUJP11,3ª,"R$ 99,45",16.06.20,,,Oferta Restrita (ICVM 476),,,,26.02.20,15.05 até 27.05.20,15.05 até 27.05.20Liquidação: 28.05.20,29.05 até 03.06.20Liquidação: 05.06.20,05.06 até 15.06.20Liquidação: 15.06.20,"0,734 (73,4%)",,Não há,"R$ 18.688.345,65","R$ 168.195.170,52 (R$ 140.162.642,10 + Lote Adicional de R$ 28.032.528,42)",Ourinvest,Não há,,,"R$ 99,45"
198,OUJP11,4ª,"R$ 100,47",28.04.21,"R$ 97.325.590,41",,Oferta Restrita (ICVM 476),11.05.21,,,05.02.21,Não há,12.02 até 26.02.21Liquidação: 02.03.21,08.03 até 12.03.21Liquidação: 19.03.21,Não há,"0,43584152077 (43,58%)","2,508258831 (250,83%)",Não há,"R$ 10.000.080,51","R$ 120.000.122,17 (R$ 100.000.101,81 + Lote Adicional de R$ 20.000.020,36)",Guide Investimentos,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144679&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato da Administradora</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144669&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144655&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=153248&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Retificação - Montante Adicional</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=167559&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=171868&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,47"
199,OULG11B,7ª,"R$ 108,00",,,,Oferta Pública (ICVM 400),16.01.20,Não há,,25.11.19,27.11 até 03.12.19,27.11 até 09.12.19Liquidação: 10.12.19,Não há,14.11 até 17.12.19Liquidação: 23.12.19,"2,6163 (261,63%)",Não há,Não há,"R$ 50.000.004,00","R$ 359.999.899,20 (R$ 299.999.916,00 + Lote Adicional de R$ 59.999.983,20)",,,,,"R$ 108,00 (Cota de R$ 104,36 + Taxa de R$ 3,64)"
200,OURE11,2ª,"R$ 88,21",,,,Oferta Pública (ICVM 400),,Não há,,24.06.20,01.07 até 10.07.20,01.07 até 14.07.20Liquidação: 15.07.20,17.07 até 22.07.20Liquidação: 28.07.20,30.07 até 31.07.20Liquidação: 05.08.20,"1,688 (168,8%)",,Não há,"R$ 20.000.029,72","R$ 120.000.090,91 (R$ 100.000.060,39 + Lote Adicional de R$ 20.000.030,52)",Guide Investimentos,,,,"R$ 88,21"
201,OURE11,2ª,"R$ 99,16",,,,Oferta Pública (ICVM 400),,,,27.08.19,03.09 até 09.09.19,03.09 até 13.09.19Liquidação: 16.09.19,Não há,19.09 até 11.10.19Liquidação: 16.10.19,"1,4166 (141,66%)",Não há,Não há,,,,,,,"R$ 99,16"
202,PATC11,2ª,"R$ 104,50",,,,Oferta Restrita (ICVM 476),02.03.20,,,02.12.19,09.12 até 19.12.19,09.12 até 19.12.19Liquidação: 20.12.19,26.12 até 08.01.20Liquidação: 13.01.20,Não há,"1,3151 (131,51%)",,Não há,"R$ 100.000.021,00","R$ 206.427.419,00",,Não há,,,"R$ 104,50 (Cota de R$ 101,25 + Taxa de R$ 3,25)"
203,PATL11,1ª,"R$ 100,00",25.01.21,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,03.08 até 17.08.20Liquidação: 21.08.20,Não há,Não há,"R$ 25.000,00 ( cotas)","R$ 190.000.000,00","R$ 516.000.000,00 (R$ 430.000.000,00 + Lote Adicional de R$ 86.000.000,00)",XP Investimentos,Igualitário (Linear),,,"R$ 100,00"
204,PBLV11,10ª,"R$ 1.348,78",11.08.21,"R$ 64.285.885,10",,Oferta Restrita (ICVM 476),,,,27.07.21,Não há,27.07 até 10.08.21Liquidação: 30.12.99,Não há,Não há,"0,02093336 (2,09%)",Não há,Não há,"R$ 13.487.800,00","R$ 80.926.800,00",BRL Trust,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197691&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197692&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href='”https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197693&amp;cvm=true""' rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=202737&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a> </td>","R$ 1.348,78 (Cota de R$ 1.348,78 + Taxa de R$ 0,00)"
205,PBLV11,5ª,"R$ 1.148,75",,,,Oferta Restrita (ICVM 476),,,,05.01.21,Não há,06.01 até 20.01.21Liquidação: 30.12.99,Não há,Não há,"0,045876210575279 (4,59%)",Não há,Não há,"R$ 57.450.000,00","R$ 132.106.250,00",BRL Trust,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136732&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136731&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações de Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136734&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a></td>","R$ 1.148,75"
206,PBLV11,8ª,"R$ 1.336,80",11.06.21,"R$ 40.000.000,03",,Oferta Restrita (ICVM 476),,,,18.05.21,Não há,19.05 até 01.06.21Liquidação: Não há,Não há,Não há,"0,011040889144 (1,1%)",Não há,Não há,"R$ 13.368.000,00","R$ 40.104.000,00",BRL Trust,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177719&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177721&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=184115&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 1.336,80"
207,PBLV11,9ª,"R$ 1.342,93",,,,Oferta Restrita (ICVM 476),,,,21.06.21,Não há,22.06 até 05.07.21Liquidação: 30.12.99,Não há,Não há,"4,36825241509 (436,83%)",Não há,"R$ 13.429,30 (10 cotas)","R$ 13.429.300,00","R$ 161.151.600,00",,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187633&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187632&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187631&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a> </td>","R$ 1.342,93 (Cota de R$ 1.342,93 + Taxa de R$ 0,00)"
208,PEMA11,1ª,"R$ 100,00",08.02.21,"R$ 55.200.000,00",,Oferta Restrita (ICVM 476),Não há,26.03.21,,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,,,,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157641&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00"
209,PEMA11,1ª,"R$ 100,00",08.02.21,"R$ 55.200.000,00",,Oferta Restrita (ICVM 476),,,,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,,,BRL Trust,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=153991&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Formulário de Encerramento</a></td>","R$ 100,00"
210,PLCR11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,19.09 até 31.10.19Liquidação: 06.11.19,Não há,Não há,"R$ 1.000,00 ( cotas)","R$ 100.000.000,00","R$ 480.000.000,00 (R$ 400.000.000,00 + Lote Adicional de R$ 80.000.000,00)",,,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
211,PLOG11,1ª,"R$ 100,00",05.03.21,"R$ 75.000.000,00",Não houve,Oferta Pública (ICVM 400),16.03.21,Não há,,Não há,Não há,Não há,Não há,30.10 até 25.02.21Liquidação: 03.03.21,Não há,Não há,"R$ 1.000,00 (10 cotas)","R$ 75.000.000,00","R$ 180.000.000,00 (R$ 150.000.000,00 + Lote Adicional de R$ 30.000.000,00)",Genial Investimentos,Proporcional,¹ Período de Desistência: 03.02 até 09.02.21,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151216&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151222&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=152749&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=154305&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 100,00 (Cota de R$ 93,81 + Taxa de R$ 6,19)"
212,PORD11,2ª,"R$ 100,68",14.08.20,,,Oferta Pública (ICVM 400),07.04.20,,,14.02.20,20.02 até 03.03.20,20.02 até 05.03.20Liquidação: 06.03.20,Não há,20.02 até 13.03.20Liquidação: 20.03.20,"1,5463 (154,63%)",Não há,"R$ 25.975,44 ( cotas)","R$ 30.070.000,00","R$ 179.999.990,00 (R$ 150.000.024,00 + Lote Adicional de R$ 29.999.966,00)",XP Investimentos,Igualitário (Linear),,,"R$ 100,68 (Cota de R$ 97,00 + Taxa de R$ 3,68)"
213,PORD11,3ª,"R$ 100,00",23.06.21,"R$ 169.288.054,38",,Oferta Pública (ICVM 400),01.07.21,Não há,,28.05.21,01.06 até 10.06.21,01.06 até 14.06.21Liquidação: 15.06.21,Não há,01.06 até 16.06.21Liquidação: 22.06.21,"1,05151393038 (105,15%)",Não há,"R$ 10.400,00 (104 cotas)","R$ 30.000.092,52","R$ 239.999.968,88 (R$ 200.000.038,34 + Lote Adicional de R$ 39.999.930,54)",XP Investimentos,Igualitário (Linear),,"<td><a href=""http://sistemas.cvm.gov.br/dados/ofeanal/RJ-2020-06079/20210409_Minuta%20do%20Prospecto%20Definitivo.pdf"" rel=""noopener noreferrer"" target=""_blank"">Minuta do Prospecto</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179165&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179167&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179168&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188145&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188546&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 96,41 + Taxa de R$ 3,59)"
214,PVBI11,1ª,"R$ 100,00",15.01.21,,,Oferta Pública (ICVM 400),,Não há,,Não há,Não há,Não há,Não há,22.06 até 16.07.20Liquidação: 22.07.20,Não há,Não há,"R$ 25.000,00 ( cotas)","R$ 550.000.000,00","R$ 972.000.000,00 (R$ 810.000.000,00 + Lote Adicional de R$ 162.000.000,00)",Banco Itaú BBA,Proporcional,,,"R$ 100,00 (Cota de R$ 96,54 + Taxa de R$ 3,46)"
215,QAGR11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,08.10 até 28.10.19Liquidação: 05.11.19,Não há,Não há,"R$ 25.000,00 ( cotas)","R$ 102.000.000,00","R$ 504.000.000,00 (R$ 420.000.000,00 + Lote Adicional de R$ 84.000.000,00)",,,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
216,QAMI11,1ª,"R$ 100,00",09.04.21,"R$ 80.139.800,00",,Oferta Pública (ICVM 400),16.04.21,Não há,,Não há,Não há,Não há,Não há,22.02 até 30.03.21Liquidação: 07.04.21,Não há,Não há,"R$ 1.000,00 (10 cotas)","R$ 30.000.000,00","R$ 180.000.000,00 (R$ 150.000.000,00 + Lote Adicional de R$ 30.000.000,00)",Genial Investimentos,Proporcional,Nenhuma,"<td><a href=""http://sistemas.cvm.gov.br/dados/ofeanal/RJ-2019-07046/20210204_Prospecto%20Preliminar.pdf"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162640&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 100,00 (Cota de R$ 94,98 + Taxa de R$ 5,02)"
217,RBCO11,2ª,"R$ 102,75",20.03.20,,,Oferta Pública (ICVM 400),,,,17.02.20,18.02 até 28.02.20,18.02 até 03.03.20Liquidação: 05.03.20,Não há,21.01 até 13.03.20Liquidação: 19.03.20,"3,851 (385,1%)",Não há,"R$ 10.275,00 ( cotas)","R$ 100.000.000,00","R$ 360.000.000,00 (R$ 300.000.000,00 + Lote Adicional de R$ 60.000.000,00)",Itaú,Proporcional,,,"R$ 102,75"
218,RBED11,2ª,"R$ 153,31",,,,Oferta Restrita (ICVM 476),,,,10.09.19,Não há,18.09 até 30.09.19Liquidação: 01.10.19,03.10 até 15.10.19Liquidação: 16.10.19,Não há,"2,2309 (223,09%)",,Não há,,,,Não há,,,"R$ 153,31"
219,RBED11,3ª,"R$ 154,06",19.04.21,"R$ 36.102.420,40",Não houve,Oferta Restrita (ICVM 476),29.04.21,15.07.21,,16.11.20,Não há,19.11 até 02.12.20Liquidação: 03.12.20,08.12 até 16.12.20Liquidação: 17.12.20,Não há,"0,1869392669 (18,69%)","3,71970232874 (371,97%)",Não há,"R$ 35.000.142,00","R$ 60.000.072,40 (R$ 50.000.010,45 + Lote Adicional de R$ 10.000.061,95)",Rio Bravo,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124691&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124692&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124693&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124827&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Material Complementar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166096&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Encerramento da Oferta</a></td>","R$ 154,06 (Cota de R$ 149,65 + Taxa de R$ 4,41)"
